epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,73.857,0.91521,0.24742,1,3.10468,0.000331832,0.000331832,0.000331832
2,146.876,0.49201,0.40206,1,3.08008,0.000621264,0.000621264,0.000621264
3,210.91,0.40919,0.42268,1,3.55775,0.000866697,0.000866697,0.000866697
4,271.644,0.34575,0.38144,1,2.7068,0.000802,0.000802,0.000802
5,336.893,0.3209,0.39175,1,4.14495,0.000736,0.000736,0.000736
6,398.582,0.24852,0.40206,1,4.51641,0.00067,0.00067,0.00067
7,459.288,0.24203,0.38144,1,5.35073,0.000604,0.000604,0.000604
8,518.771,0.20645,0.41237,1,4.6645,0.000538,0.000538,0.000538
9,584.102,0.1962,0.38144,1,6.49616,0.000472,0.000472,0.000472
10,644.651,0.15937,0.42268,1,5.18431,0.000406,0.000406,0.000406
11,707.146,0.15512,0.40206,1,4.46051,0.00034,0.00034,0.00034
12,767.347,0.15271,0.38144,1,5.03988,0.000274,0.000274,0.000274
13,828.9,0.13423,0.38144,1,3.96856,0.000208,0.000208,0.000208
14,889.048,0.11812,0.39175,1,4.06761,0.000142,0.000142,0.000142
15,948.66,0.124,0.38144,1,4.97523,7.6e-05,7.6e-05,7.6e-05
